,Depth (m),Number of Prod Wells,Number of Inj Wells,Maximum Reservoir Temperature (deg.C),Wellfield Cost ($M),Surface Plant Cost ($M),Exploration Cost ($M),Field Gathering System Cost ($M),Wellfield O&M Cost ($M/year),Surface Plant O&M Cost ($M/year),Make-Up Water O&M Cost ($M/year),Average Reservoir Heat Extraction (MWth),Average Total Electricity Generation (MWe),Lifetime
230,2.2,2,5,400.0,35.3,35.2,5.0,3.49,0.69,1.43,0.07,6.17,6.17,35
4,2.2,2,6,400.0,40.34,35.2,5.0,3.94,0.74,1.43,0.07,6.17,6.17,35
68,2.2,3,3,400.0,30.25,47.11,5.0,3.3,0.7,1.81,0.11,9.26,9.26,35
28,2.2,3,4,400.0,35.3,47.11,5.0,3.69,0.76,1.81,0.11,9.26,9.26,35
145,2.2,3,5,400.0,40.34,47.11,5.0,4.11,0.81,1.81,0.11,9.26,9.26,35
370,2.2,3,6,400.0,45.38,47.11,5.0,4.54,0.87,1.81,0.11,9.26,9.26,35
75,2.2,4,4,400.0,40.34,58.12,5.0,4.34,0.86,2.11,0.15,12.34,12.34,35
97,2.2,4,5,400.0,45.38,58.12,5.0,4.73,0.92,2.11,0.15,12.34,12.34,35
323,2.2,4,6,400.0,50.42,58.12,5.0,5.15,0.97,2.11,0.15,12.34,12.34,35
275,2.2,5,5,400.0,50.42,68.42,5.0,5.37,1.01,2.38,0.18,15.43,15.43,35
51,2.2,5,6,400.0,55.47,68.42,5.0,5.77,1.06,2.38,0.18,15.43,15.43,35
111,2.2,6,6,400.0,60.51,78.18,5.0,6.4,1.15,2.61,0.22,18.52,18.52,35
360,2.3,1,1,400.0,10.62,22.37,5.2,1.17,0.32,0.94,0.04,3.4,3.4,35
152,2.3,1,2,400.0,15.93,22.37,5.2,1.54,0.38,0.94,0.04,3.4,3.4,35
41,2.3,1,3,400.0,21.24,22.37,5.2,1.96,0.43,0.94,0.04,3.4,3.4,35
81,2.3,1,4,400.0,26.55,22.37,5.2,2.42,0.49,0.94,0.04,3.4,3.4,35
110,2.3,1,5,400.0,31.86,22.37,5.2,2.9,0.55,0.94,0.04,3.4,3.4,35
321,2.3,1,6,400.0,37.17,22.37,5.2,3.38,0.61,0.94,0.04,3.4,3.4,35
7,2.3,2,2,400.0,21.24,36.83,5.2,2.24,0.55,1.49,0.07,6.8,6.8,35
164,2.3,2,3,400.0,26.55,36.83,5.2,2.62,0.61,1.49,0.07,6.8,6.8,35
120,2.3,2,4,400.0,31.86,36.83,5.2,3.04,0.66,1.49,0.07,6.8,6.8,35
52,2.3,2,5,400.0,37.17,36.83,5.2,3.47,0.72,1.49,0.07,6.8,6.8,35
273,2.3,2,6,400.0,42.48,36.83,5.2,3.91,0.78,1.49,0.07,6.8,6.8,35
205,2.3,3,3,400.0,31.86,49.38,5.2,3.29,0.73,1.88,0.11,10.2,10.2,35
256,2.3,3,4,400.0,37.17,49.38,5.2,3.67,0.79,1.88,0.11,10.2,10.2,35
325,2.3,3,5,400.0,42.48,49.38,5.2,4.09,0.85,1.88,0.11,10.2,10.2,35
95,2.3,3,6,400.0,47.79,49.38,5.2,4.52,0.9,1.88,0.11,10.2,10.2,35
211,2.3,4,4,400.0,42.48,60.97,5.2,4.33,0.89,2.19,0.15,13.6,13.6,35
373,2.3,4,5,400.0,47.79,60.97,5.2,4.72,0.95,2.19,0.15,13.6,13.6,35
144,2.3,4,6,400.0,53.1,60.97,5.2,5.13,1.01,2.19,0.15,13.6,13.6,35
5,2.3,5,5,400.0,53.1,71.81,5.2,5.36,1.05,2.46,0.18,16.99,16.99,35
228,2.3,5,6,400.0,58.41,71.81,5.2,5.75,1.1,2.46,0.18,16.99,16.99,35
368,2.3,6,6,400.0,63.71,82.09,5.2,6.38,1.19,2.71,0.22,20.39,20.39,35
270,2.4,1,1,400.0,11.17,23.29,5.4,1.16,0.34,0.99,0.04,3.73,3.73,35
49,2.4,1,2,400.0,16.75,23.29,5.4,1.53,0.4,0.99,0.04,3.73,3.73,35
127,2.4,1,3,400.0,22.33,23.29,5.4,1.93,0.46,0.99,0.04,3.73,3.73,35
161,2.4,1,4,400.0,27.91,23.29,5.4,2.42,0.52,0.99,0.04,3.73,3.73,35
9,2.4,1,5,400.0,33.5,23.29,5.4,2.9,0.58,0.99,0.04,3.73,3.73,35
234,2.4,1,6,400.0,39.08,23.29,5.4,3.38,0.64,0.99,0.04,3.73,3.73,35
108,2.4,2,2,400.0,22.33,38.39,5.4,2.23,0.57,1.55,0.07,7.46,7.46,35
84,2.4,2,3,400.0,27.91,38.39,5.4,2.6,0.63,1.55,0.07,7.46,7.46,35
37,2.4,2,4,400.0,33.5,38.39,5.4,3.02,0.69,1.55,0.07,7.46,7.46,35
155,2.4,2,5,400.0,39.08,38.39,5.4,3.45,0.75,1.55,0.07,7.46,7.46,35
362,2.4,2,6,400.0,44.66,38.39,5.4,3.86,0.81,1.55,0.07,7.46,7.46,35
284,2.4,3,3,400.0,33.5,51.55,5.4,3.28,0.76,1.95,0.11,11.19,11.19,35
339,2.4,3,4,400.0,39.08,51.55,5.4,3.66,0.82,1.95,0.11,11.19,11.19,35
220,2.4,3,5,400.0,44.66,51.55,5.4,4.07,0.88,1.95,0.11,11.19,11.19,35
13,2.4,3,6,400.0,50.24,51.55,5.4,4.5,0.94,1.95,0.11,11.19,11.19,35
295,2.4,4,4,400.0,44.66,63.68,5.4,4.31,0.93,2.27,0.15,14.91,14.91,35
264,2.4,4,5,400.0,50.24,63.68,5.4,4.7,0.99,2.27,0.15,14.91,14.91,35
58,2.4,4,6,400.0,55.83,63.68,5.4,5.11,1.05,2.27,0.15,14.91,14.91,35
107,2.4,5,5,400.0,55.83,75.03,5.4,5.34,1.09,2.55,0.18,18.64,18.64,35
317,2.4,5,6,400.0,61.41,75.03,5.4,5.74,1.15,2.55,0.18,18.64,18.64,35
281,2.4,6,6,400.0,66.99,85.8,5.4,6.37,1.24,2.8,0.22,22.37,22.37,35
1,2.5,1,1,400.0,11.72,24.16,5.6,1.16,0.35,1.03,0.04,4.08,4.08,35
227,2.5,1,2,400.0,17.58,24.16,5.6,1.51,0.41,1.03,0.04,4.08,4.08,35
353,2.5,1,3,400.0,23.45,24.16,5.6,1.93,0.48,1.03,0.04,4.08,4.08,35
298,2.5,1,4,400.0,29.31,24.16,5.6,2.42,0.54,1.03,0.04,4.08,4.08,35
279,2.5,1,5,400.0,35.17,24.16,5.6,2.9,0.6,1.03,0.04,4.08,4.08,35
57,2.5,1,6,400.0,41.03,24.16,5.6,3.38,0.67,1.03,0.04,4.08,4.08,35
364,2.5,2,2,400.0,23.45,39.86,5.6,2.22,0.59,1.61,0.07,8.15,8.15,35
194,2.5,2,3,400.0,29.31,39.86,5.6,2.59,0.66,1.61,0.07,8.15,8.15,35
241,2.5,2,4,400.0,35.17,39.86,5.6,3.0,0.72,1.61,0.07,8.15,8.15,35
318,2.5,2,5,400.0,41.03,39.86,5.6,3.4,0.78,1.61,0.07,8.15,8.15,35
105,2.5,2,6,400.0,46.89,39.86,5.6,3.86,0.84,1.61,0.07,8.15,8.15,35
176,2.5,3,3,400.0,35.17,53.62,5.6,3.27,0.79,2.01,0.11,12.23,12.23,35
138,2.5,3,4,400.0,41.03,53.62,5.6,3.64,0.85,2.01,0.11,12.23,12.23,35
61,2.5,3,5,400.0,46.89,53.62,5.6,4.05,0.91,2.01,0.11,12.23,12.23,35
263,2.5,3,6,400.0,52.75,53.62,5.6,4.47,0.97,2.01,0.11,12.23,12.23,35
186,2.5,4,4,400.0,46.89,66.26,5.6,4.3,0.96,2.34,0.15,16.3,16.3,35
15,2.5,4,5,400.0,52.75,66.26,5.6,4.68,1.02,2.34,0.15,16.3,16.3,35
218,2.5,4,6,400.0,58.61,66.26,5.6,5.09,1.09,2.34,0.15,16.3,16.3,35
363,2.5,5,5,400.0,58.61,78.1,5.6,5.33,1.12,2.62,0.18,20.38,20.38,35
153,2.5,5,6,400.0,64.48,78.1,5.6,5.72,1.19,2.62,0.18,20.38,20.38,35
12,2.5,6,6,400.0,70.34,89.53,5.6,6.35,1.28,2.88,0.22,24.45,24.45,35
741,2.6,1,1,400.0,12.29,25.0,5.81,1.15,0.37,1.08,0.04,4.44,4.44,35
528,2.6,1,2,400.0,18.44,25.0,5.81,1.5,0.43,1.08,0.04,4.44,4.44,35
454,2.6,1,3,400.0,24.59,25.0,5.81,1.93,0.5,1.08,0.04,4.44,4.44,35
379,2.6,1,4,400.0,30.73,25.0,5.81,2.42,0.57,1.08,0.04,4.44,4.44,35
596,2.6,1,5,400.0,36.88,25.0,5.81,2.9,0.63,1.08,0.04,4.44,4.44,35
805,2.6,1,6,400.0,43.02,25.0,5.81,3.38,0.7,1.08,0.04,4.44,4.44,35
489,2.6,2,2,400.0,24.59,41.27,5.81,2.21,0.61,1.66,0.07,8.88,8.88,35
513,2.6,2,3,400.0,30.73,41.27,5.81,2.57,0.68,1.66,0.07,8.88,8.88,35
572,2.6,2,4,400.0,36.88,41.27,5.81,2.97,0.74,1.66,0.07,8.88,8.88,35
429,2.6,2,5,400.0,43.02,41.27,5.81,3.38,0.81,1.66,0.07,8.88,8.88,35
615,2.6,2,6,400.0,49.17,41.27,5.81,3.86,0.88,1.66,0.07,8.88,8.88,35
690,2.6,3,3,400.0,36.88,55.59,5.81,3.25,0.81,2.07,0.11,13.32,13.32,35
644,2.6,3,4,400.0,43.02,55.59,5.81,3.62,0.88,2.07,0.11,13.32,13.32,35
784,2.6,3,5,400.0,49.17,55.59,5.81,4.03,0.94,2.07,0.11,13.32,13.32,35
601,2.6,3,6,400.0,55.32,55.59,5.81,4.44,1.01,2.07,0.11,13.32,13.32,35
704,2.6,4,4,400.0,49.17,68.72,5.81,4.28,0.99,2.41,0.15,17.76,17.76,35
725,2.6,4,5,400.0,55.32,68.72,5.81,4.66,1.06,2.41,0.15,17.76,17.76,35
544,2.6,4,6,400.0,61.46,68.72,5.81,5.07,1.12,2.41,0.15,17.76,17.76,35
485,2.6,5,5,400.0,61.46,81.01,5.81,5.31,1.16,2.7,0.18,22.2,22.2,35
672,2.6,5,6,400.0,67.61,81.01,5.81,5.69,1.23,2.7,0.18,22.2,22.2,35
748,2.6,6,6,400.0,73.76,93.22,5.81,6.33,1.32,2.97,0.22,26.64,26.64,35
587,2.7,1,1,400.0,12.87,25.79,6.03,1.14,0.38,1.12,0.04,4.82,4.82,35
797,2.7,1,2,400.0,19.31,25.79,6.03,1.46,0.45,1.12,0.04,4.82,4.82,35
662,2.7,1,3,400.0,25.75,25.79,6.03,1.93,0.52,1.12,0.04,4.82,4.82,35
706,2.7,1,4,400.0,32.19,25.79,6.03,2.42,0.59,1.12,0.04,4.82,4.82,35
751,2.7,1,5,400.0,38.62,25.79,6.03,2.9,0.66,1.12,0.04,4.82,4.82,35
537,2.7,1,6,400.0,45.06,25.79,6.03,3.38,0.73,1.12,0.04,4.82,4.82,35
617,2.7,2,2,400.0,25.75,42.62,6.03,2.2,0.64,1.71,0.07,9.64,9.64,35
812,2.7,2,3,400.0,32.19,42.62,6.03,2.55,0.7,1.71,0.07,9.64,9.64,35
762,2.7,2,4,400.0,38.62,42.62,6.03,2.92,0.77,1.71,0.07,9.64,9.64,35
670,2.7,2,5,400.0,45.06,42.62,6.03,3.38,0.84,1.71,0.07,9.64,9.64,35
486,2.7,2,6,400.0,51.5,42.62,6.03,3.86,0.91,1.71,0.07,9.64,9.64,35
399,2.7,3,3,400.0,38.62,57.46,6.03,3.24,0.84,2.13,0.11,14.46,14.46,35
468,2.7,3,4,400.0,45.06,57.46,6.03,3.6,0.91,2.13,0.11,14.46,14.46,35
541,2.7,3,5,400.0,51.5,57.46,6.03,3.99,0.98,2.13,0.11,14.46,14.46,35
729,2.7,3,6,400.0,57.93,57.46,6.03,4.38,1.04,2.13,0.11,14.46,14.46,35
412,2.7,4,4,400.0,51.5,71.05,6.03,4.27,1.03,2.47,0.15,19.28,19.28,35
598,2.7,4,5,400.0,57.93,71.05,6.03,4.64,1.09,2.47,0.15,19.28,19.28,35
788,2.7,4,6,400.0,64.37,71.05,6.03,5.04,1.16,2.47,0.15,19.28,19.28,35
613,2.7,5,5,400.0,64.37,83.89,6.03,5.29,1.2,2.77,0.18,24.11,24.11,35
430,2.7,5,6,400.0,70.81,83.89,6.03,5.67,1.27,2.77,0.18,24.11,24.11,35
594,2.7,6,6,400.0,77.24,96.66,6.03,6.31,1.37,3.05,0.22,28.93,28.93,35
539,2.8,1,1,400.0,13.47,26.55,6.24,1.13,0.4,1.16,0.04,5.22,5.22,35
727,2.8,1,2,400.0,20.2,26.55,6.24,1.45,0.47,1.16,0.04,5.22,5.22,35
701,2.8,1,3,400.0,26.93,26.55,6.24,1.93,0.54,1.16,0.04,5.22,5.22,35
634,2.8,1,4,400.0,33.67,26.55,6.24,2.42,0.61,1.16,0.04,5.22,5.22,35
792,2.8,1,5,400.0,40.4,26.55,6.24,2.9,0.69,1.16,0.04,5.22,5.22,35
607,2.8,1,6,400.0,47.14,26.55,6.24,3.38,0.76,1.16,0.04,5.22,5.22,35
686,2.8,2,2,400.0,26.93,43.94,6.24,2.19,0.66,1.75,0.07,10.44,10.44,35
771,2.8,2,3,400.0,33.67,43.94,6.24,2.53,0.73,1.75,0.07,10.44,10.44,35
830,2.8,2,4,400.0,40.4,43.94,6.24,2.9,0.8,1.75,0.07,10.44,10.44,35
627,2.8,2,5,400.0,47.14,43.94,6.24,3.38,0.87,1.75,0.07,10.44,10.44,35
420,2.8,2,6,400.0,53.87,43.94,6.24,3.86,0.94,1.75,0.07,10.44,10.44,35
438,2.8,3,3,400.0,40.4,59.25,6.24,3.22,0.87,2.18,0.11,15.66,15.66,35
391,2.8,3,4,400.0,47.14,59.25,6.24,3.58,0.94,2.18,0.11,15.66,15.66,35
585,2.8,3,5,400.0,53.87,59.25,6.24,3.95,1.01,2.18,0.11,15.66,15.66,35
795,2.8,3,6,400.0,60.6,59.25,6.24,4.35,1.08,2.18,0.11,15.66,15.66,35
450,2.8,4,4,400.0,53.87,73.27,6.24,4.25,1.06,2.53,0.15,20.88,20.88,35
530,2.8,4,5,400.0,60.6,73.27,6.24,4.61,1.13,2.53,0.15,20.88,20.88,35
736,2.8,4,6,400.0,67.34,73.27,6.24,5.0,1.2,2.53,0.15,20.88,20.88,35
684,2.8,5,5,400.0,67.34,86.75,6.24,5.27,1.24,2.84,0.18,26.1,26.1,35
474,2.8,5,6,400.0,74.07,86.75,6.24,5.64,1.31,2.84,0.18,26.1,26.1,35
551,2.8,6,6,400.0,80.8,99.87,6.24,6.28,1.41,3.13,0.22,31.32,31.32,35
783,2.9,1,1,400.0,14.07,27.28,6.47,1.12,0.41,1.19,0.04,5.64,5.64,35
600,2.9,1,2,400.0,21.11,27.28,6.47,1.45,0.49,1.19,0.04,5.64,5.64,35
409,2.9,1,3,400.0,28.15,27.28,6.47,1.93,0.56,1.19,0.04,5.64,5.64,35
458,2.9,1,4,400.0,35.18,27.28,6.47,2.42,0.64,1.19,0.04,5.64,5.64,35
549,2.9,1,5,400.0,42.22,27.28,6.47,2.9,0.71,1.19,0.04,5.64,5.64,35
735,2.9,1,6,400.0,49.25,27.28,6.47,3.38,0.79,1.19,0.04,5.64,5.64,35
424,2.9,2,2,400.0,28.15,45.19,6.47,2.17,0.68,1.8,0.07,11.28,11.28,35
553,2.9,2,3,400.0,35.18,45.19,6.47,2.5,0.75,1.8,0.07,11.28,11.28,35
501,2.9,2,4,400.0,42.22,45.19,6.47,2.9,0.82,1.8,0.07,11.28,11.28,35
476,2.9,2,5,400.0,49.25,45.19,6.47,3.38,0.9,1.8,0.07,11.28,11.28,35
681,2.9,2,6,400.0,56.29,45.19,6.47,3.86,0.97,1.8,0.07,11.28,11.28,35
648,2.9,3,3,400.0,42.22,60.95,6.47,3.2,0.89,2.23,0.11,16.91,16.91,35
718,2.9,3,4,400.0,49.25,60.95,6.47,3.55,0.97,2.23,0.11,16.91,16.91,35
740,2.9,3,5,400.0,56.29,60.95,6.47,3.88,1.04,2.23,0.11,16.91,16.91,35
527,2.9,3,6,400.0,63.33,60.95,6.47,4.35,1.12,2.23,0.11,16.91,16.91,35
659,2.9,4,4,400.0,56.29,75.39,6.47,4.22,1.09,2.59,0.15,22.55,22.55,35
799,2.9,4,5,400.0,63.33,75.39,6.47,4.58,1.16,2.59,0.15,22.55,22.55,35
582,2.9,4,6,400.0,70.36,75.39,6.47,4.95,1.24,2.59,0.15,22.55,22.55,35
422,2.9,5,5,400.0,70.36,89.41,6.47,5.24,1.28,2.91,0.18,28.19,28.19,35
625,2.9,5,6,400.0,77.4,89.41,6.47,5.61,1.35,2.91,0.18,28.19,28.19,35
794,2.9,6,6,400.0,84.44,102.86,6.47,6.25,1.46,3.2,0.22,33.83,33.83,35
195,3.0,1,1,400.0,14.69,27.97,6.69,1.11,0.43,1.23,0.04,6.07,6.07,35
39,3.0,1,2,400.0,22.03,27.97,6.69,1.45,0.5,1.23,0.04,6.07,6.07,35
154,3.0,1,3,400.0,29.38,27.97,6.69,1.93,0.58,1.23,0.04,6.07,6.07,35
109,3.0,1,4,400.0,36.72,27.97,6.69,2.42,0.66,1.23,0.04,6.07,6.07,35
83,3.0,1,5,400.0,44.07,27.97,6.69,2.9,0.74,1.23,0.04,6.07,6.07,35
239,3.0,1,6,400.0,51.41,27.97,6.69,3.38,0.82,1.23,0.04,6.07,6.07,35
159,3.0,2,2,400.0,29.38,46.39,6.69,2.15,0.7,1.84,0.07,12.15,12.15,35
11,3.0,2,3,400.0,36.72,46.39,6.69,2.45,0.77,1.84,0.07,12.15,12.15,35
47,3.0,2,4,400.0,44.07,46.39,6.69,2.9,0.85,1.84,0.07,12.15,12.15,35
129,3.0,2,5,400.0,51.41,46.39,6.69,3.38,0.93,1.84,0.07,12.15,12.15,35
309,3.0,2,6,400.0,58.76,46.39,6.69,3.86,1.01,1.84,0.07,12.15,12.15,35
375,3.0,3,3,400.0,44.07,62.57,6.69,3.18,0.92,2.28,0.11,18.22,18.22,35
327,3.0,3,4,400.0,51.41,62.57,6.69,3.51,1.0,2.28,0.11,18.22,18.22,35
254,3.0,3,5,400.0,58.76,62.57,6.69,3.86,1.07,2.28,0.11,18.22,18.22,35
70,3.0,3,6,400.0,66.1,62.57,6.69,4.35,1.15,2.28,0.11,18.22,18.22,35
374,3.0,4,4,400.0,58.76,77.49,6.69,4.2,1.12,2.64,0.15,24.29,24.29,35
209,3.0,4,5,400.0,66.1,77.49,6.69,4.54,1.2,2.64,0.15,24.29,24.29,35
23,3.0,4,6,400.0,73.45,77.49,6.69,4.88,1.28,2.64,0.15,24.29,24.29,35
173,3.0,5,5,400.0,73.45,91.9,6.69,5.21,1.32,2.97,0.18,30.37,30.37,35
354,3.0,5,6,400.0,80.79,91.9,6.69,5.57,1.39,2.97,0.18,30.37,30.37,35
193,3.0,6,6,400.0,88.14,105.65,6.69,6.22,1.5,3.26,0.22,36.44,36.44,35
86,3.1,1,1,400.0,15.32,28.64,6.93,1.1,0.44,1.26,0.04,6.53,6.53,35
242,3.1,1,2,400.0,22.98,28.64,6.93,1.45,0.52,1.26,0.04,6.53,6.53,35
316,3.1,1,3,400.0,30.64,28.64,6.93,1.93,0.6,1.26,0.04,6.53,6.53,35
365,3.1,1,4,400.0,38.3,28.64,6.93,2.42,0.68,1.26,0.04,6.53,6.53,35
192,3.1,1,5,400.0,45.96,28.64,6.93,2.9,0.77,1.26,0.04,6.53,6.53,35
36,3.1,1,6,400.0,53.61,28.64,6.93,3.38,0.85,1.26,0.04,6.53,6.53,35
297,3.1,2,2,400.0,30.64,47.54,6.93,2.13,0.72,1.88,0.07,13.06,13.06,35
282,3.1,2,3,400.0,38.3,47.54,6.93,2.42,0.8,1.88,0.07,13.06,13.06,35
225,3.1,2,4,400.0,45.96,47.54,6.93,2.9,0.88,1.88,0.07,13.06,13.06,35
357,3.1,2,5,400.0,53.61,47.54,6.93,3.38,0.96,1.88,0.07,13.06,13.06,35
171,3.1,2,6,400.0,61.27,47.54,6.93,3.86,1.04,1.88,0.07,13.06,13.06,35
99,3.1,3,3,400.0,45.96,64.13,6.93,3.16,0.95,2.33,0.11,19.58,19.58,35
147,3.1,3,4,400.0,53.61,64.13,6.93,3.46,1.03,2.33,0.11,19.58,19.58,35
25,3.1,3,5,400.0,61.27,64.13,6.93,3.86,1.11,2.33,0.11,19.58,19.58,35
207,3.1,3,6,400.0,68.93,64.13,6.93,4.35,1.19,2.33,0.11,19.58,19.58,35
98,3.1,4,4,400.0,61.27,79.53,6.93,4.17,1.16,2.7,0.15,26.11,26.11,35
72,3.1,4,5,400.0,68.93,79.53,6.93,4.5,1.24,2.7,0.15,26.11,26.11,35
252,3.1,4,6,400.0,76.59,79.53,6.93,4.83,1.32,2.7,0.15,26.11,26.11,35
311,3.1,5,5,400.0,76.59,94.23,6.93,5.18,1.36,3.03,0.18,32.64,32.64,35
125,3.1,5,6,400.0,84.25,94.23,6.93,5.52,1.44,3.03,0.18,32.64,32.64,35
85,3.1,6,6,400.0,91.91,108.25,6.93,6.18,1.55,3.32,0.22,39.17,39.17,35
817,3.2,1,1,400.0,15.96,29.29,7.16,1.09,0.45,1.29,0.04,7.0,7.0,35
570,3.2,1,2,400.0,23.94,29.29,7.16,1.45,0.54,1.29,0.04,7.0,7.0,35
431,3.2,1,3,400.0,31.92,29.29,7.16,1.93,0.62,1.29,0.04,7.0,7.0,35
488,3.2,1,4,400.0,39.9,29.29,7.16,2.42,0.71,1.29,0.04,7.0,7.0,35
515,3.2,1,5,400.0,47.88,29.29,7.16,2.9,0.79,1.29,0.04,7.0,7.0,35
755,3.2,1,6,400.0,55.86,29.29,7.16,3.38,0.88,1.29,0.04,7.0,7.0,35
381,3.2,2,2,400.0,31.92,48.65,7.16,2.11,0.74,1.92,0.07,14.0,14.0,35
593,3.2,2,3,400.0,39.9,48.65,7.16,2.42,0.82,1.92,0.07,14.0,14.0,35
531,3.2,2,4,400.0,47.88,48.65,7.16,2.9,0.9,1.92,0.07,14.0,14.0,35
448,3.2,2,5,400.0,55.86,48.65,7.16,3.38,0.99,1.92,0.07,14.0,14.0,35
722,3.2,2,6,400.0,63.84,48.65,7.16,3.86,1.07,1.92,0.07,14.0,14.0,35
629,3.2,3,3,400.0,47.88,65.63,7.16,3.13,0.97,2.37,0.11,21.0,21.0,35
683,3.2,3,4,400.0,55.86,65.63,7.16,3.38,1.05,2.37,0.11,21.0,21.0,35
774,3.2,3,5,400.0,63.84,65.63,7.16,3.86,1.14,2.37,0.11,21.0,21.0,35
505,3.2,3,6,400.0,71.82,65.63,7.16,4.35,1.22,2.37,0.11,21.0,21.0,35
626,3.2,4,4,400.0,63.84,81.44,7.16,4.14,1.19,2.75,0.15,28.0,28.0,35
832,3.2,4,5,400.0,71.82,81.44,7.16,4.43,1.27,2.75,0.15,28.0,28.0,35
559,3.2,4,6,400.0,79.8,81.44,7.16,4.83,1.36,2.75,0.15,28.0,28.0,35
389,3.2,5,5,400.0,79.8,96.41,7.16,5.14,1.39,3.08,0.18,35.0,35.0,35
664,3.2,5,6,400.0,87.78,96.41,7.16,5.46,1.48,3.08,0.18,35.0,35.0,35
811,3.2,6,6,400.0,95.76,110.69,7.16,6.14,1.59,3.38,0.22,42.01,42.01,35
520,3.3,1,1,400.0,16.61,29.91,7.4,1.07,0.47,1.32,0.04,7.49,7.49,35
760,3.3,1,2,400.0,24.92,29.91,7.4,1.45,0.56,1.32,0.04,7.49,7.49,35
671,3.3,1,3,400.0,33.22,29.91,7.4,1.93,0.64,1.32,0.04,7.49,7.49,35
616,3.3,1,4,400.0,41.53,29.91,7.4,2.42,0.73,1.32,0.04,7.49,7.49,35
813,3.3,1,5,400.0,49.84,29.91,7.4,2.9,0.82,1.32,0.04,7.49,7.49,35
567,3.3,1,6,400.0,58.14,29.91,7.4,3.38,0.91,1.32,0.04,7.49,7.49,35
708,3.3,2,2,400.0,33.22,49.72,7.4,2.09,0.76,1.96,0.07,14.99,14.99,35
749,3.3,2,3,400.0,41.53,49.72,7.4,2.42,0.84,1.96,0.07,14.99,14.99,35
800,3.3,2,4,400.0,49.84,49.72,7.4,2.9,0.93,1.96,0.07,14.99,14.99,35
657,3.3,2,5,400.0,58.14,49.72,7.4,3.38,1.02,1.96,0.07,14.99,14.99,35
393,3.3,2,6,400.0,66.45,49.72,7.4,3.86,1.11,1.96,0.07,14.99,14.99,35
478,3.3,3,3,400.0,49.84,67.08,7.4,3.09,1.0,2.41,0.11,22.48,22.48,35
421,3.3,3,4,400.0,58.14,67.08,7.4,3.38,1.08,2.41,0.11,22.48,22.48,35
556,3.3,3,5,400.0,66.45,67.08,7.4,3.86,1.17,2.41,0.11,22.48,22.48,35
835,3.3,3,6,400.0,74.75,67.08,7.4,4.35,1.26,2.41,0.11,22.48,22.48,35
475,3.3,4,4,400.0,66.45,83.25,7.4,4.1,1.22,2.8,0.15,29.97,29.97,35
502,3.3,4,5,400.0,74.75,83.25,7.4,4.35,1.31,2.8,0.15,29.97,29.97,35
777,3.3,4,6,400.0,83.06,83.25,7.4,4.83,1.39,2.8,0.15,29.97,29.97,35
717,3.3,5,5,400.0,83.06,98.49,7.4,5.1,1.43,3.13,0.18,37.47,37.47,35
453,3.3,5,6,400.0,91.36,98.49,7.4,5.36,1.52,3.13,0.18,37.47,37.47,35
514,3.3,6,6,400.0,99.67,113.0,7.4,6.09,1.64,3.44,0.22,44.96,44.96,35
387,3.4,1,1,400.0,17.28,30.53,7.65,1.05,0.48,1.35,0.04,8.0,8.0,35
654,3.4,1,2,400.0,25.91,30.53,7.65,1.45,0.57,1.35,0.04,8.0,8.0,35
803,3.4,1,3,400.0,34.55,30.53,7.65,1.93,0.66,1.35,0.04,8.0,8.0,35
746,3.4,1,4,400.0,43.19,30.53,7.65,2.42,0.75,1.35,0.04,8.0,8.0,35
712,3.4,1,5,400.0,51.83,30.53,7.65,2.9,0.85,1.35,0.04,8.0,8.0,35
441,3.4,1,6,400.0,60.47,30.53,7.65,3.38,0.94,1.35,0.04,8.0,8.0,35
810,3.4,2,2,400.0,34.55,50.77,7.65,2.06,0.78,1.99,0.07,16.01,16.01,35
619,3.4,2,3,400.0,43.19,50.77,7.65,2.42,0.87,1.99,0.07,16.01,16.01,35
668,3.4,2,4,400.0,51.83,50.77,7.65,2.9,0.96,1.99,0.07,16.01,16.01,35
765,3.4,2,5,400.0,60.47,50.77,7.65,3.38,1.05,1.99,0.07,16.01,16.01,35
525,3.4,2,6,400.0,69.1,50.77,7.65,3.86,1.14,1.99,0.07,16.01,16.01,35
604,3.4,3,3,400.0,51.83,68.52,7.65,3.05,1.03,2.46,0.11,24.01,24.01,35
547,3.4,3,4,400.0,60.47,68.52,7.65,3.38,1.11,2.46,0.11,24.01,24.01,35
460,3.4,3,5,400.0,69.1,68.52,7.65,3.86,1.21,2.46,0.11,24.01,24.01,35
696,3.4,3,6,400.0,77.74,68.52,7.65,4.35,1.3,2.46,0.11,24.01,24.01,35
603,3.4,4,4,400.0,69.1,84.99,7.65,4.05,1.25,2.84,0.15,32.02,32.02,35
403,3.4,4,5,400.0,77.74,84.99,7.65,4.35,1.34,2.84,0.15,32.02,32.02,35
637,3.4,4,6,400.0,86.38,84.99,7.65,4.83,1.44,2.84,0.15,32.02,32.02,35
821,3.4,5,5,400.0,86.38,100.47,7.65,5.04,1.47,3.18,0.18,40.02,40.02,35
580,3.4,5,6,400.0,95.02,100.47,7.65,5.31,1.56,3.18,0.18,40.02,40.02,35
382,3.4,6,6,400.0,103.66,115.68,7.65,6.03,1.69,3.5,0.22,48.03,48.03,35
715,3.5,1,1,400.0,17.95,31.13,7.89,1.02,0.49,1.38,0.04,8.54,8.54,35
